frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
266,3,target,804.0,297.4,down,down_L4,31.17,138.86,,,117.41837602,40.39882724,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,138.86,117.41482820,40.39876396,
267,3,target,805.1,298.2,down,down_L4,31.19,137.78,,,117.41836328,40.39882759,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,137.78,117.41484091,40.39876345,
268,3,target,806.4,299.0,down,down_L4,31.22,136.64,,,117.41834981,40.39882796,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.22,136.64,117.41485436,40.39876277,
269,3,target,807.6,300.0,down,down_L4,31.23,135.38,,,117.41833502,40.39882836,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.23,135.38,117.41486913,40.39876238,
270,3,target,808.4,300.5,down,down_L4,31.25,134.64,,,117.41832620,40.39882859,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.25,134.64,117.41487792,40.39876197,
271,3,target,809.5,301.8,down,down_L4,31.22,133.14,,,117.41830859,40.39882907,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.22,133.14,117.41489552,40.39876178,
272,3,target,810.6,303.1,down,down_L4,31.19,131.66,,,117.41829107,40.39882954,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.19,131.66,117.41491303,40.39876154,
273,3,target,811.7,303.9,down,down_L4,31.20,130.63,,,117.41827898,40.39882987,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.20,130.63,117.41492509,40.39876111,
274,3,target,812.9,304.9,down,down_L4,31.21,129.42,,,117.41826474,40.39883025,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.21,129.42,117.41493931,40.39876069,
275,3,target,813.8,305.8,down,down_L4,31.20,128.40,,,117.41825269,40.39883058,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.20,128.40,117.41495135,40.39876047,
276,3,target,814.8,306.7,down,down_L4,31.20,127.37,,,117.41824059,40.39883091,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.20,127.37,117.41496344,40.39876011,
277,3,target,816.1,307.9,down,down_L4,31.21,126.06,,,117.41822508,40.39883132,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.21,126.06,117.41497892,40.39875970,
278,3,target,817.6,308.9,down,down_L4,31.23,124.85,,,117.41821086,40.39883171,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.23,124.85,117.41499312,40.39875913,
279,3,target,818.7,309.9,down,down_L4,31.23,123.80,,,117.41819844,40.39883204,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,101.3,31.23,123.80,117.41500552,40.39875876,
