frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason
205,1,target,1110.1,422.8,down,down_L2,22.99,69.67,,,117.41999534,40.39881590,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,22.99,69.67,117.41999774,40.39881466,
206,1,target,1105.7,420.6,down,down_L2,23.00,70.85,,,117.41998633,40.39881616,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,23.00,70.85,117.41998517,40.39881497,
207,1,target,1101.4,418.8,down,down_L2,22.96,71.91,,,117.41997831,40.39881639,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,22.96,71.91,117.41997456,40.39881541,
208,1,target,1097.0,416.6,down,down_L2,22.97,73.10,,,117.41996918,40.39881665,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,22.97,73.10,117.41995755,40.39881643,
209,1,target,1093.2,414.6,down,down_L2,22.99,74.21,,,117.41996075,40.39881689,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,102.5,22.99,74.21,117.41995486,40.39881666,
210,1,target,1089.6,413.2,down,down_L2,22.94,75.10,,,117.41995399,40.39881709,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.5,22.94,75.10,117.41994943,40.39881669,
211,1,target,1085.4,411.2,down,down_L2,22.94,76.28,,,117.41994496,40.39881735,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.5,22.94,76.28,117.41994537,40.39881664,
212,1,target,1081.3,408.9,down,down_L2,22.97,77.57,,,117.41993512,40.39881763,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.5,22.97,77.57,117.41993571,40.39881668,
213,1,target,1077.7,406.7,down,down_L2,23.01,78.76,,,117.41992609,40.39881789,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.5,23.01,78.76,117.41992507,40.39881702,
214,1,target,1074.3,405.3,down,down_L2,22.98,79.69,,,117.41991895,40.39881810,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.5,22.98,79.69,117.41991842,40.39881740,
215,1,target,1071.1,403.1,down,down_L2,23.07,80.89,,,117.41990983,40.39881836,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,101.5,23.07,80.89,117.41991426,40.39881770,
216,1,target,1067.7,401.6,down,down_L2,23.04,81.86,,,117.41990247,40.39881858,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.04,81.86,117.41990872,40.39881797,
217,1,target,1064.1,399.9,down,down_L2,23.03,82.96,,,117.41989408,40.39881882,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.03,82.96,117.41990590,40.39881789,
218,1,target,1060.4,398.2,down,down_L2,23.03,84.13,,,117.41988516,40.39881908,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.03,84.13,117.41988876,40.39881782,
219,1,target,1056.8,396.8,down,down_L2,22.98,85.15,,,117.41987733,40.39881931,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,22.98,85.15,117.41987835,40.39881798,
220,1,target,1053.7,395.1,down,down_L2,23.01,86.22,,,117.41986918,40.39881954,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.01,86.22,117.41986694,40.39881835,
221,1,target,1050.7,393.5,down,down_L2,23.02,87.27,,,117.41986123,40.39881977,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.02,87.27,117.41985703,40.39881883,
222,1,target,1047.3,391.7,down,down_L2,23.03,88.44,,,117.41985228,40.39882003,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.03,88.44,117.41984215,40.39881980,
223,1,target,1044.1,390.1,down,down_L2,23.04,89.55,,,117.41984382,40.39882028,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.9,23.04,89.55,117.41983550,40.39881997,
224,1,target,1040.7,388.6,down,down_L2,23.02,90.70,,,117.41983509,40.39882053,2,2,3fb19760-f2d3-469d-9182-1094ceb2c27a,100.5,23.02,90.70,117.41983366,40.39881998,
