frame,track_id,class,u_px,v_px,image_region,image_lane,x_world_m,y_world_m,map_x,map_y,longitude,latitude,map_lane_code_raw,map_lane_code,map_lane_id,speed_kmh,raw_x_world_m,raw_y_world_m,raw_longitude,raw_latitude,output_filter_reason,ModelHeight
239,3,target,781.3,277,down,down_L4,31.17,170.51,,,117.4187491,40.39881672,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,170.51,117.4144556,40.39877366,,574.123
240,3,target,782.1,277.8,down,down_L4,31.16,168.97,,,117.4187309,40.39881724,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.16,168.97,117.4144738,40.39877326,,574.101
241,3,target,782.6,278.7,down,down_L4,31.12,167.6,,,117.4187148,40.39881769,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.12,167.6,117.4144899,40.39877323,,574.08
242,3,target,783.8,279.2,down,down_L4,31.17,166.43,,,117.418701,40.39881808,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.17,166.43,117.4145036,40.39877242,,574.064
243,3,target,785.2,279.3,down,down_L4,31.3,165.92,,,117.418695,40.39881825,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.3,165.92,117.4145096,40.39877109,,574.056
244,3,target,785.6,280.2,down,down_L4,31.24,164.59,,,117.4186793,40.39881869,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.24,164.59,117.4145253,40.39877121,,574.035
245,3,target,786.3,280.6,down,down_L4,31.26,163.71,,,117.4186689,40.39881899,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.26,163.71,117.4145357,40.39877078,,574.022
246,3,target,786.7,281.7,down,down_L4,31.19,162.12,,,117.4186502,40.39881952,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.19,162.12,117.4145544,40.39877092,,573.998
247,3,target,787.6,282.2,down,down_L4,31.22,161.15,,,117.4186387,40.39881984,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.22,161.15,117.4145658,40.39877035,,573.982
248,3,target,788.6,283.3,down,down_L4,31.2,159.41,,,117.4186182,40.39882042,1,4,ec103391-9cbd-46db-bc06-d37be88b091d,,31.2,159.41,117.4145863,40.39877,,573.956
